Front,Back,Tags
"What is a 'quality attribute' in software architecture?","A non-functional property the system is measured on besides correctness: performance, scalability, availability, reliability, security, maintainability, evolvability, observability, cost-efficiency. The architect's first job is to RANK these for the system at hand — you cannot maximize all of them.","m01 concept"
"What are the three types of constraints?","Hard (regulatory, physical, contractual — non-negotiable), Soft (organizational, budgetary — flexible), Self-imposed (decisions you made earlier that feel like constraints but aren't). Naming each correctly is half the job.","m01 concept"
"Name the canonical latency numbers every architect should know","L1 cache: 0.5ns. RAM: 100ns. SSD random read: 150μs. Datacenter RTT: 0.5ms. Cross-continent RTT: 150ms. 1Gbps network: ~10μs/KB.","m01 number"
"What's the difference between SLI, SLO, and SLA?","SLI = the metric (e.g., 'p99 request latency'). SLO = the internal target (e.g., 'p99 < 200ms'). SLA = the contract with consequences (e.g., 'breach = refund'). Rule: SLO < SLA always; the gap is your error budget.","m01 concept"
"What is the error budget concept?","Error budget = (1 - SLO) over a time window. E.g., 99.9% SLO over 30 days = 43 min downtime allowed. Burn rate determines whether you can ship risky changes. Once budget is gone, freeze risky work.","m01 concept"
"What are Type 1 and Type 2 decisions (Bezos)?","Type 1: one-way doors — hard or impossible to reverse (e.g., core data model, language choice). Spend time. Type 2: two-way doors — easy to undo (e.g., monitoring vendor, internal API). Move fast. Architects flip the common engineering bias: over-debate Type 2, under-debate Type 1.","m01 pattern"
"What's the 7-question decision framework?","1) What problem? 2) What constraints? 3) Rank quality attributes? 4) What options (>=2)? 5) Trade-offs of each? 6) Best fit, why? 7) Reversibility cost? If you can't answer all 7, you have a preference, not a decision.","m01 pattern"
"What is the Two Generals Problem?","Two generals coordinating an attack through an unreliable messenger can never reach confirmed common knowledge of an attack time. Proof: each ack needs its own ack, recursing infinitely. Consequence: no protocol over unreliable channels guarantees both sides reach confirmed state. Idempotency isn't optional.","m02 concept"
"What does the FLP impossibility result state?","In an asynchronous distributed system with even one faulty node, no deterministic consensus algorithm guarantees termination. Real protocols (Raft, Paxos) work by using timeouts — accepting they may not terminate in adversarial cases.","m02 concept"
"Why is 'CAP = pick 2 of 3' misleading?","Partitions WILL happen — P isn't optional. The real choice: during a partition, pick A or C. When no partition, both. PACELC corrects this: if Partitioned A or C; Else L or C (latency vs consistency).","m02 concept"
"What is PACELC?","Extends CAP: if Partitioned, choose Availability or Consistency; Else (normal operation), choose Latency or Consistency. Even without partitions, you trade latency for consistency. DynamoDB is PA/EL; Spanner is PC/EC.","m02 concept"
"Name the consistency models from strongest to weakest","Linearizable (real-time order), Sequential (same order on all nodes), Causal (causal order preserved), Read-your-writes (see own writes), Monotonic reads (time only forward), Eventual (replicas eventually converge).","m02 concept"
"What's the difference between Lamport timestamps and vector clocks?","Lamport: single monotonic counter per node — captures causality but cannot detect concurrency. Vector clocks: per-node counters — can detect when two events are causally concurrent (neither happens-before).","m02 concept"
"What are the three roles in Raft?","Follower (passive, replicates leader's log), Candidate (trying to become leader during election), Leader (handles writes, replicates to followers). Election triggered when followers don't hear leader heartbeat.","m02 concept"
"For N=5 replicas, what R and W give strong consistency?","R + W > N. So R=3,W=3 (strong, tolerates 2 failures both reads and writes); R=4,W=2 (strong, asymmetric); R=1,W=5 (strong reads but writes fail on any failure).","m02 number"
